timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 20:53:12.205, 0, 462.31 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:12.205, 1, 456.30 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:12.205, 2, 452.84 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:12.205, 3, 465.02 W, 36, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:13.205, 0, 230.56 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:13.205, 1, 226.15 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:13.205, 2, 230.76 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:13.205, 3, 233.33 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:14.205, 0, 230.34 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:14.205, 1, 226.15 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:14.205, 2, 229.94 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:14.205, 3, 232.71 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:15.206, 0, 230.33 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:15.206, 1, 226.14 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:15.206, 2, 229.91 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:15.206, 3, 232.36 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:16.206, 0, 230.31 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:16.206, 1, 226.14 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:16.206, 2, 229.93 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:16.206, 3, 230.64 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:17.206, 0, 230.30 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 20:53:17.206, 1, 226.14 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
