timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:09:29.938, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:30.938, 0, 233.84 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:30.938, 1, 229.82 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:30.938, 2, 226.29 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:30.938, 3, 226.58 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:31.939, 0, 238.26 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:09:31.939, 1, 269.02 W, 36, 2070 MHz, 3996 MHz, 62 %, 10 %
2026/06/07 23:09:31.939, 2, 286.69 W, 36, 2070 MHz, 3996 MHz, 30 %, 0 %
2026/06/07 23:09:31.939, 3, 304.83 W, 38, 2070 MHz, 3996 MHz, 99 %, 15 %
2026/06/07 23:09:32.939, 0, 505.34 W, 37, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:32.939, 1, 510.29 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:32.939, 2, 505.90 W, 37, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:32.939, 3, 506.94 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:33.939, 0, 516.34 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:33.939, 1, 515.83 W, 38, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:33.939, 2, 507.52 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
2026/06/07 23:09:33.939, 3, 508.36 W, 39, 2070 MHz, 3996 MHz, 100 %, 33 %
2026/06/07 23:09:34.939, 0, 516.58 W, 38, 2070 MHz, 3996 MHz, 100 %, 34 %
