timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/06/07 23:17:13.839, 0, 229.77 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:13.839, 1, 226.36 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:13.839, 2, 221.73 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:13.839, 3, 225.99 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:14.839, 0, 229.95 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:14.840, 1, 226.36 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:14.840, 2, 221.73 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:14.840, 3, 225.99 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:15.840, 0, 230.26 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:15.840, 1, 227.77 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:15.840, 2, 221.88 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:15.840, 3, 226.60 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:16.840, 0, 229.47 W, 34, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:16.840, 1, 227.72 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:16.840, 2, 221.73 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:16.840, 3, 227.77 W, 33, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:17.840, 0, 347.39 W, 41, 2070 MHz, 3996 MHz, 60 %, 0 %
2026/06/07 23:17:17.840, 1, 378.69 W, 41, 2070 MHz, 3996 MHz, 100 %, 0 %
2026/06/07 23:17:17.840, 2, 278.27 W, 34, 2070 MHz, 3996 MHz, 2 %, 0 %
2026/06/07 23:17:17.840, 3, 241.41 W, 35, 2070 MHz, 3996 MHz, 0 %, 0 %
2026/06/07 23:17:18.840, 0, 598.47 W, 39, 2070 MHz, 3996 MHz, 100 %, 9 %
2026/06/07 23:17:18.841, 1, 571.84 W, 38, 2070 MHz, 3996 MHz, 99 %, 29 %
2026/06/07 23:17:18.841, 2, 524.83 W, 38, 2070 MHz, 3996 MHz, 56 %, 23 %
2026/06/07 23:17:18.841, 3, 509.88 W, 38, 2070 MHz, 3996 MHz, 94 %, 19 %
2026/06/07 23:17:19.841, 0, 549.93 W, 39, 2070 MHz, 3996 MHz, 100 %, 38 %
2026/06/07 23:17:19.841, 1, 554.08 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:19.841, 2, 545.79 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:19.841, 3, 548.30 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:20.841, 0, 551.81 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:20.841, 1, 555.65 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:20.841, 2, 549.84 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:20.841, 3, 546.19 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:21.841, 0, 552.89 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:21.841, 1, 556.31 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:21.841, 2, 549.63 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:21.841, 3, 550.62 W, 39, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:22.841, 0, 552.66 W, 40, 2070 MHz, 3996 MHz, 100 %, 39 %
2026/06/07 23:17:22.841, 1, 556.61 W, 39, 2070 MHz, 3996 MHz, 100 %, 38 %
